Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_270_521,VSS,Metal1,312.6600,1082.2685,0.012071
FILLER_270_457,VSS,Metal1,293.2845,1082.5575,0.012070
FILLER_270_451,VSS,Metal1,273.4600,1082.2685,0.012070
FILLER_270_387,VSS,Metal1,254.0845,1082.5575,0.012070
FILLER_270_381,VSS,Metal1,234.2600,1082.2685,0.012070
FILLER_270_317,VSS,Metal1,214.8845,1082.5575,0.012070
FILLER_270_311,VSS,Metal1,195.0600,1082.2685,0.012069
FILLER_270_247,VSS,Metal1,175.6845,1082.5575,0.012069
FILLER_270_241,VSS,Metal1,155.8600,1082.2685,0.012069
FILLER_270_177,VSS,Metal1,136.4845,1082.5575,0.012069
FILLER_270_171,VSS,Metal1,116.6600,1082.2685,0.012069
FILLER_270_107,VSS,Metal1,97.2845,1082.5575,0.012069
FILLER_270_101,VSS,Metal1,77.4600,1082.2685,0.012068
FILLER_270_37,VSS,Metal1,58.0845,1082.5575,0.012068
FILLER_270_34,VSS,Metal1,39.4800,1081.9200,0.012068
FILLER_270_2,VSS,Metal1,29.5640,1082.5175,0.012068
FILLER_269_1892,VSS,Metal1,1083.5520,1081.3720,0.012198
FILLER_269_1886,VSS,Metal1,1077.0600,1081.5710,0.012198
FILLER_269_1822,VSS,Metal1,1057.6845,1081.2820,0.012198
FILLER_269_1816,VSS,Metal1,1037.8600,1081.5710,0.012198
FILLER_269_1752,VSS,Metal1,1018.4845,1081.2820,0.012198
FILLER_269_1746,VSS,Metal1,998.6600,1081.5710,0.012198
FILLER_269_1682,VSS,Metal1,979.2845,1081.2820,0.012198
FILLER_269_1676,VSS,Metal1,959.4600,1081.5710,0.012198
FILLER_269_1612,VSS,Metal1,940.0845,1081.2820,0.012198
FILLER_269_1606,VSS,Metal1,920.2600,1081.5710,0.012197
FILLER_269_1542,VSS,Metal1,900.8845,1081.2820,0.012197
FILLER_269_1536,VSS,Metal1,881.0600,1081.5710,0.012197
FILLER_269_1472,VSS,Metal1,861.6845,1081.2820,0.012197
FILLER_269_1466,VSS,Metal1,841.8600,1081.5710,0.012197
FILLER_269_1402,VSS,Metal1,822.4845,1081.2820,0.012197
FILLER_269_1396,VSS,Metal1,802.6600,1081.5710,0.012197
FILLER_269_1332,VSS,Metal1,783.2845,1081.2820,0.012197
FILLER_269_1326,VSS,Metal1,763.4600,1081.5710,0.012197
FILLER_269_1262,VSS,Metal1,744.0845,1081.2820,0.012197
FILLER_269_1256,VSS,Metal1,724.2600,1081.5710,0.012197
FILLER_269_1192,VSS,Metal1,704.8845,1081.2820,0.012197
FILLER_269_1186,VSS,Metal1,685.0600,1081.5710,0.012197
FILLER_269_1122,VSS,Metal1,665.6845,1081.2820,0.012197
FILLER_269_1116,VSS,Metal1,645.8600,1081.5710,0.012197
FILLER_269_1052,VSS,Metal1,626.4845,1081.2820,0.012197
FILLER_269_1048,VSS,Metal1,607.6000,1081.9200,0.012196
FILLER_269_1044,VSS,Metal1,605.5400,1081.5710,0.012196
FILLER_269_1036,VSS,Metal1,602.0530,1081.4580,0.012196
FILLER_269_1020,VSS,Metal1,595.2320,1081.3720,0.012196
FILLER_269_988,VSS,Metal1,581.7240,1081.3220,0.012196
FILLER_269_982,VSS,Metal1,570.3600,1081.9200,0.012195
FILLER_269_979,VSS,Metal1,568.6800,1081.9200,0.012195
FILLER_269_971,VSS,Metal1,564.4800,1081.9200,0.012183
FILLER_269_964,VSS,Metal1,560.5600,1081.9200,0.012170
FILLER_269_956,VSS,Metal1,556.0800,1081.9200,0.012164
FILLER_269_952,VSS,Metal1,554.0200,1081.5710,0.012161
FILLER_269_944,VSS,Metal1,550.5330,1081.4580,0.012160
FILLER_269_912,VSS,Metal1,539.1640,1081.3220,0.012156
FILLER_269_909,VSS,Metal1,529.4800,1081.9200,0.012156
FILLER_269_905,VSS,Metal1,527.7000,1081.5710,0.012156
FILLER_269_897,VSS,Metal1,524.2130,1081.4580,0.012156
FILLER_269_881,VSS,Metal1,517.3920,1081.3720,0.012156
FILLER_269_872,VSS,Metal1,509.2200,1081.5710,0.012149
FILLER_269_865,VSS,Metal1,505.1200,1081.9200,0.012138
