Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_270_743,VDD,Metal1,441.3280,1085.1480,2.989061
FILLER_270_737,VDD,Metal1,433.1600,1085.8400,2.989061
FILLER_270_734,VDD,Metal1,431.4800,1085.8400,2.989061
FILLER_270_724,VDD,Metal1,427.1000,1085.4075,2.989061
FILLER_270_716,VDD,Metal1,423.8665,1085.2630,2.989061
FILLER_270_684,VDD,Metal1,412.8355,1085.0710,2.989075
FILLER_270_675,VDD,Metal1,399.6600,1085.4075,2.989144
FILLER_270_667,VDD,Metal1,396.4265,1085.2630,2.989144
FILLER_270_661,VDD,Metal1,391.8200,1085.4075,2.989144
FILLER_270_597,VDD,Metal1,373.1150,1085.0255,2.989144
FILLER_270_591,VDD,Metal1,352.6200,1085.4075,2.989144
FILLER_270_527,VDD,Metal1,333.9150,1085.0255,2.989145
FILLER_270_521,VDD,Metal1,313.4200,1085.4075,2.989145
FILLER_270_457,VDD,Metal1,294.7150,1085.0255,2.989145
FILLER_270_451,VDD,Metal1,274.2200,1085.4075,2.989146
FILLER_270_387,VDD,Metal1,255.5150,1085.0255,2.989146
FILLER_270_381,VDD,Metal1,235.0200,1085.4075,2.989147
FILLER_270_317,VDD,Metal1,216.3150,1085.0255,2.989147
FILLER_270_311,VDD,Metal1,195.8200,1085.4075,2.989148
FILLER_270_247,VDD,Metal1,177.1150,1085.0255,2.989149
FILLER_270_241,VDD,Metal1,156.6200,1085.4075,2.989150
FILLER_270_177,VDD,Metal1,137.9150,1085.0255,2.989151
FILLER_270_171,VDD,Metal1,117.4200,1085.4075,2.989152
FILLER_270_107,VDD,Metal1,98.7150,1085.0255,2.989153
FILLER_270_101,VDD,Metal1,78.2200,1085.4075,2.989156
FILLER_270_37,VDD,Metal1,59.5150,1085.0255,2.989158
FILLER_270_34,VDD,Metal1,39.4800,1085.8400,2.989165
FILLER_270_2,VDD,Metal1,30.9155,1085.0710,2.989165
FILLER_269_1892,VDD,Metal1,1084.7680,1078.6920,2.988954
FILLER_269_1886,VDD,Metal1,1077.8200,1078.4325,2.988954
FILLER_269_1822,VDD,Metal1,1059.1150,1078.8140,2.988954
FILLER_269_1816,VDD,Metal1,1038.6200,1078.4325,2.988954
FILLER_269_1752,VDD,Metal1,1019.9150,1078.8140,2.988954
FILLER_269_1746,VDD,Metal1,999.4200,1078.4325,2.988954
FILLER_269_1682,VDD,Metal1,980.7150,1078.8140,2.988954
FILLER_269_1676,VDD,Metal1,960.2200,1078.4325,2.988954
FILLER_269_1612,VDD,Metal1,941.5150,1078.8140,2.988954
FILLER_269_1606,VDD,Metal1,921.0200,1078.4325,2.988954
FILLER_269_1542,VDD,Metal1,902.3150,1078.8140,2.988954
FILLER_269_1536,VDD,Metal1,881.8200,1078.4325,2.988954
FILLER_269_1472,VDD,Metal1,863.1150,1078.8140,2.988954
FILLER_269_1466,VDD,Metal1,842.6200,1078.4325,2.988954
FILLER_269_1402,VDD,Metal1,823.9150,1078.8140,2.988954
FILLER_269_1396,VDD,Metal1,803.4200,1078.4325,2.988954
FILLER_269_1332,VDD,Metal1,784.7150,1078.8140,2.988954
FILLER_269_1326,VDD,Metal1,764.2200,1078.4325,2.988954
FILLER_269_1262,VDD,Metal1,745.5150,1078.8140,2.988954
FILLER_269_1256,VDD,Metal1,725.0200,1078.4325,2.988954
FILLER_269_1192,VDD,Metal1,706.3150,1078.8140,2.988954
FILLER_269_1186,VDD,Metal1,685.8200,1078.4325,2.988954
FILLER_269_1122,VDD,Metal1,667.1150,1078.8140,2.988954
FILLER_269_1116,VDD,Metal1,646.6200,1078.4325,2.988954
FILLER_269_1052,VDD,Metal1,627.9150,1078.8140,2.988954
FILLER_269_1048,VDD,Metal1,607.6000,1078.0000,2.988954
FILLER_269_1044,VDD,Metal1,606.3000,1078.4325,2.988954
FILLER_269_1036,VDD,Metal1,603.0665,1078.5765,2.988954
FILLER_269_1020,VDD,Metal1,596.4480,1078.6920,2.988954
FILLER_269_988,VDD,Metal1,583.0755,1078.7685,2.988955
FILLER_269_982,VDD,Metal1,570.3600,1078.0000,2.988962
FILLER_269_979,VDD,Metal1,568.6800,1078.0000,2.988963
FILLER_269_971,VDD,Metal1,564.4800,1078.0000,2.988963
FILLER_269_964,VDD,Metal1,560.5600,1078.0000,2.988963
FILLER_269_956,VDD,Metal1,556.0800,1078.0000,2.988963
FILLER_269_952,VDD,Metal1,554.7800,1078.4325,2.988963
FILLER_269_944,VDD,Metal1,551.5465,1078.5765,2.988963
FILLER_269_912,VDD,Metal1,540.5155,1078.7685,2.988966
FILLER_269_909,VDD,Metal1,529.4800,1078.0000,2.988966
FILLER_269_905,VDD,Metal1,528.4600,1078.4325,2.988966
FILLER_269_897,VDD,Metal1,525.2265,1078.5765,2.988966
FILLER_269_881,VDD,Metal1,518.6080,1078.6920,2.988967
FILLER_269_872,VDD,Metal1,509.9800,1078.4325,2.989064
FILLER_269_865,VDD,Metal1,505.1200,1078.0000,2.989070
FILLER_269_851,VDD,Metal1,499.4665,1078.5765,2.989070
FILLER_269_844,VDD,Metal1,493.0800,1078.0000,2.989071
FILLER_269_842,VDD,Metal1,492.2400,1078.0000,2.989071
FILLER_269_839,VDD,Metal1,490.2800,1078.0000,2.989071
FILLER_269_831,VDD,Metal1,486.0800,1078.0000,2.989071
FILLER_269_823,VDD,Metal1,481.6000,1078.0000,2.989073
FILLER_269_816,VDD,Metal1,477.6800,1078.0000,2.989074
FILLER_269_808,VDD,Metal1,475.3865,1078.5765,2.989074
FILLER_269_800,VDD,Metal1,468.7200,1078.0000,2.989079
FILLER_269_789,VDD,Metal1,462.5600,1078.0000,2.989080
FILLER_269_781,VDD,Metal1,458.0800,1078.0000,2.989080
FILLER_269_772,VDD,Metal1,453.9800,1078.4325,2.989080
FILLER_269_768,VDD,Metal1,450.8000,1078.0000,2.989082
FILLER_269_760,VDD,Metal1,448.5065,1078.5765,2.989082
