net,length_um
net2167,215.6µm
net888,215.39µm
net1797,215.29µm
net1531,215.24µm
net2713,215.24µm
net204,215.19µm
net1536,215.19µm
net103,215.14µm
net1260,215.14µm
net1636,215.09µm
net1021,214.73µm
net1607,214.68µm
net3449,214.63µm
net620,214.58µm
net496,214.53µm
net1006,214.37µm
net289,214.12µm
net525,214.12µm
net17,214.02µm
net86,214.02µm
net3513,213.97µm
net1965,213.61µm
net546,213.56µm
net638,213.56µm
net3184,213.56µm
net3473,213.56µm
net287,213.46µm
net2223,213.46µm
net3417,213.15µm
net3528,213.15µm
clknet_8_124__leaf_clk_IN,213.1µm
net1154,213.05µm
clknet_8_47__leaf_clk_IN,213.05µm
net704,213µm
net894,213µm
net3215,212.95µm
net354,212.9µm
net691,212.9µm
net1662,212.9µm
net1916,212.9µm
net2016,212.9µm
net3242,212.9µm
net1292,212.54µm
net1774,212.54µm
net1629,212.44µm
net1697,212.44µm
net1778,212.44µm
net222,212.39µm
net1818,212.39µm
net2726,212.39µm
net1562,212.34µm
net2578,212.34µm
net3409,212.34µm
net88,212.29µm
net2261,212.29µm
net2748,212.29µm
net205,211.83µm
net1035,211.83µm
net1944,211.83µm
net1578,211.73µm
net2643,211.73µm
net3305,211.73µm
net1773,211.47µm
net3489,211.42µm
net2706,211.32µm
net3327,211.32µm
u_core.u_master.u_slave.u_core.S1\[3\],211.27µm
net683,211.27µm
net1191,211.27µm
net2954,211.27µm
net1046,211.22µm
net3030,211.22µm
net3441,211.22µm
net571,211.17µm
net2008,211.17µm
_05749_,211.12µm
net80,211.12µm
net201,211.12µm
net531,210.76µm
net911,210.76µm
net2041,210.76µm
net364,210.71µm
net943,210.71µm
_05890_,210.66µm
net207,210.66µm
net409,210.66µm
net412,210.66µm
net636,210.66µm
net1474,210.66µm
net3433,210.66µm
net664,210.61µm
net2250,210.61µm
net1143,210.56µm
net3447,210.4µm
net1786,210.3µm
u_core.u_master.u_slave.u_core.B2\[40\],210.2µm
net1576,210.2µm
net3224,210.2µm
net803,210.15µm
net3115,210.15µm
net502,210.1µm
net273,210.05µm
net3363,209.94µm
net3491,209.84µm
net397,209.79µm
net745,209.69µm
net881,209.69µm
net3374,209.69µm
net1602,209.64µm
net73,209.59µm
net721,209.59µm
net1499,209.59µm
net3082,209.59µm
net2626,209.49µm
net605,209.44µm
clknet_8_230__leaf_clk_IN,209.23µm
net815,209.18µm
net3480,209.18µm
net459,209.13µm
net749,209.08µm
net1692,209.08µm
net1836,209.08µm
net2415,209.08µm
net89,209.03µm
net617,209.03µm
net2743,209.03µm
net134,208.98µm
net1746,208.98µm
net1749,208.98µm
net2635,208.93µm
net1972,208.88µm
net908,208.57µm
net2662,208.52µm
net2672,208.52µm
net1554,208.47µm
net3532,208.47µm
net672,208.42µm
net737,208.42µm
net1703,208.42µm
net3303,208.42µm
net1843,208.37µm
net503,207.96µm
net1750,207.96µm
net2742,207.96µm
net542,207.91µm
net1160,207.91µm
net362,207.86µm
net1859,207.86µm
net527,207.81µm
net3270,207.81µm
clknet_8_109__leaf_clk_IN,207.7µm
net3286,207.55µm
net2321,207.4µm
net2485,207.35µm
net2701,207.3µm
net3122,207.3µm
net1915,207.25µm
net2646,207.25µm
clknet_8_34__leaf_clk_IN,207.19µm
net3077,206.99µm
net3296,206.99µm
clknet_4_1__leaf_sclk_IN,206.99µm
net898,206.94µm
clknet_8_4__leaf_clk_IN,206.94µm
net530,206.89µm
net1747,206.89µm
u_core.u_master.u_slave.u_core.B4\[34\],206.74µm
net13,206.64µm
net212,206.64µm
net262,206.64µm
net875,206.64µm
net1123,206.64µm
net880,206.38µm
net746,206.33µm
net879,206.33µm
net3523,206.33µm
net700,206.23µm
net724,206.23µm
net1309,206.23µm
net2290,206.23µm
u_core.u_master.u_slave.u_core.S0\[45\],206.18µm
net116,206.18µm
net451,206.18µm
net676,206.18µm
net787,206.13µm
net1210,206.08µm
net3167,205.87µm
clknet_8_11__leaf_clk_IN,205.87µm
clknet_8_121__leaf_clk_IN,205.87µm
net893,205.82µm
net3469,205.82µm
net720,205.67µm
net431,205.62µm
net553,205.62µm
net845,205.62µm
net1097,205.62µm
net2661,205.62µm
net121,205.57µm
net4060,205.57µm
net643,205.52µm
net1978,205.52µm
net3474,205.44µm
net1847,205.26µm
net545,205.21µm
net969,205.21µm
net532,205.16µm
net566,205.16µm
net1622,205.16µm
net1832,205.16µm
net568,205.11µm
net876,205.06µm
net45,205.01µm
net1919,205.01µm
net3411,204.75µm
_04738_,204.65µm
_06654_,204.6µm
net401,204.6µm
net3126,204.6µm
net2040,204.55µm
net3402,204.55µm
net1541,204.5µm
net2216,204.45µm
net2642,204.45µm
net770,204.4µm
net2195,204.4µm
net2865,204.4µm
net2938,204.4µm
net1034,204.29µm
u_core.u_master.u_slave.u_core.B4\[26\],204.14µm
net3472,204.09µm
net210,203.99µm
net1849,203.94µm
net2377,203.94µm
net764,203.89µm
net1603,203.89µm
net1906,203.89µm
net801,203.84µm
net1029,203.53µm
net1033,203.53µm
net1777,203.53µm
net3443,203.43µm
_03307_,203.38µm
net138,203.38µm
net1254,203.38µm
net550,203.28µm
net2278,203.28µm
clknet_8_41__leaf_clk_IN,203.17µm
net3065,202.92µm
net784,202.87µm
net3439,202.87µm
net1706,202.82µm
net1912,202.82µm
net2174,202.82µm
net3181,202.77µm
net3518,202.77µm
clknet_8_212__leaf_clk_IN,202.66µm
net288,202.41µm
net528,202.36µm
net2665,202.36µm
net2738,202.36µm
u_core.u_master.u_slave.u_core.S0\[22\],202.31µm
u_core.u_master.u_slave.u_core.S0\[43\],202.31µm
net19,202.26µm
net2601,202.26µm
net2734,202.26µm
net708,202.21µm
net1041,202.21µm
net3459,202.05µm
clknet_8_149__leaf_clk_IN,201.95µm
net1027,201.85µm
net1141,201.8µm
net1800,201.8µm
net2659,201.8µm
net2704,201.8µm
net3232,201.8µm
net730,201.75µm
net1872,201.75µm
_05175_,201.7µm
net1061,201.7µm
net1336,201.65µm
clknet_8_73__leaf_clk_IN,201.62µm
net1087,201.6µm
net382,201.47µm
net3299,201.39µm
clknet_8_108__leaf_clk_IN,201.34µm
net2689,201.24µm
net3475,201.24µm
net3372,201.19µm
net1056,201.14µm
net1126,201.14µm
net1852,201.14µm
net2382,201.09µm
clknet_8_10__leaf_clk_IN,200.98µm
net682,200.78µm
net1984,200.73µm
net673,200.68µm
net794,200.68µm
net1538,200.68µm
net970,200.63µm
net3098,200.63µm
net3108,200.63µm
net195,200.58µm
net1042,200.58µm
net1063,200.58µm
net1376,200.58µm
net1510,200.58µm
net1542,200.58µm
net2169,200.58µm
net2751,200.53µm
net2850,200.53µm
net3207,200.53µm
clknet_8_63__leaf_clk_IN,200.27µm
clknet_8_140__leaf_clk_IN,200.17µm
net1809,200.12µm
net3225,200.12µm
net3257,200.12µm
net363,200.07µm
net1186,200.07µm
net1941,200.07µm
net2732,200.07µm
net654,200.02µm
net1062,200.02µm
net1563,200.02µm
net1577,200.02µm
net1969,200.02µm
net2201,200.02µm
net2839,200.02µm
net601,199.97µm
net1301,199.97µm
net1948,199.97µm
net3533,199.92µm
net3399,199.61µm
_04795_,199.56µm
u_core.u_master.u_slave.u_core.B4\[48\],199.56µm
net268,199.56µm
net767,199.56µm
net1804,199.56µm
net82,199.51µm
net913,199.51µm
net3114,199.51µm
net3293,199.51µm
net677,199.46µm
net789,199.46µm
net218,199.41µm
net948,199.41µm
net1610,199.41µm
net1632,199.41µm
net1831,199.41µm
net1838,199.41µm
net1932,199.41µm
net2476,199.41µm
net2844,199.41µm
net3460,199.1µm
net439,199.05µm
net1715,199.05µm
net1762,199.05µm
net1138,199µm
net592,198.95µm
net1930,198.95µm
net90,198.9µm
net244,198.9µm
net1676,198.9µm
net1764,198.9µm
net2254,198.9µm
net2265,198.9µm
net2464,198.9µm
net23,198.85µm
net589,198.85µm
net1841,198.85µm
net639,198.8µm
net1104,198.8µm
net1954,198.8µm
net2510,198.8µm
clknet_8_141__leaf_clk_IN,198.74µm
net360,198.54µm
clknet_8_60__leaf_clk_IN,198.54µm
net902,198.44µm
net1642,198.44µm
net1702,198.44µm
net822,198.39µm
net3365,198.39µm
net479,198.34µm
net861,198.34µm
net1164,198.34µm
net1350,198.34µm
net1600,198.34µm
net392,198.29µm
net606,198.29µm
net1592,198.29µm
