net,length_um
_01063_,12.37µm
_01071_,12.37µm
_01076_,12.37µm
_01129_,12.37µm
_01260_,12.37µm
_01283_,12.37µm
_01333_,12.37µm
_01461_,12.37µm
_01549_,12.37µm
_01592_,12.37µm
_01773_,12.37µm
_01851_,12.37µm
_01872_,12.37µm
_01959_,12.37µm
_01987_,12.37µm
_02021_,12.37µm
_02033_,12.37µm
_02048_,12.37µm
_02148_,12.37µm
_02614_,12.37µm
_02833_,12.37µm
_02849_,12.37µm
_02900_,12.37µm
_02990_,12.37µm
_03043_,12.37µm
_03072_,12.37µm
_03076_,12.37µm
_03101_,12.37µm
_03173_,12.37µm
_03271_,12.37µm
_03382_,12.37µm
_03891_,12.37µm
_03970_,12.37µm
_03976_,12.37µm
_04017_,12.37µm
_04061_,12.37µm
_04112_,12.37µm
_04115_,12.37µm
_04161_,12.37µm
_04275_,12.37µm
_04281_,12.37µm
_04331_,12.37µm
_04649_,12.37µm
_04768_,12.37µm
_04847_,12.37µm
_04947_,12.37µm
_04975_,12.37µm
_05280_,12.37µm
_05293_,12.37µm
_05364_,12.37µm
_05464_,12.37µm
_05489_,12.37µm
_05772_,12.37µm
_05961_,12.37µm
_05987_,12.37µm
_06102_,12.37µm
_06348_,12.37µm
_06643_,12.37µm
_06738_,12.37µm
_06853_,12.37µm
_07107_,12.37µm
_07112_,12.37µm
_07364_,12.37µm
_07447_,12.37µm
_07499_,12.37µm
_07518_,12.37µm
_07794_,12.37µm
_07844_,12.37µm
_07858_,12.37µm
_07951_,12.37µm
_07971_,12.37µm
_08300_,12.37µm
u_core.miso_sr\[21\],12.37µm
u_core.u_master.m_awaddr\[2\],12.37µm
u_core.u_master.m_awaddr\[5\],12.37µm
u_core.u_master.u_slave.core_dout_data\[17\],12.37µm
u_core.u_master.u_slave.tagr1\[13\],12.37µm
u_core.u_master.u_slave.tagw3\[17\],12.37µm
u_core.u_master.u_slave.u_core.B3\[11\],12.37µm
u_core.u_master.u_slave.u_core.full_dout_q\[103\],12.37µm
u_core.u_master.u_slave.u_core.full_dout_q\[55\],12.37µm
u_core.u_master.u_slave.u_core.last_dout_q\[16\],12.37µm
u_core.u_master.u_slave.u_core.last_dout_q\[25\],12.37µm
u_core.u_master.u_slave.u_core.last_dout_q\[2\],12.37µm
u_core.u_master.u_slave.u_core.last_dout_q\[51\],12.37µm
u_core.u_master.u_slave.u_core.last_nrate_q\[40\],12.37µm
net3589,12.37µm
net3702,12.37µm
net3777,12.37µm
net3835,12.37µm
net3843,12.37µm
net3896,12.37µm
net3925,12.37µm
net3955,12.37µm
net4061,12.37µm
net4289,12.37µm
net4342,12.37µm
net4445,12.37µm
net4451,12.37µm
net4638,12.37µm
net4661,12.37µm
net4765,12.37µm
net4767,12.37µm
net4828,12.37µm
net4930,12.37µm
net4997,12.37µm
net5214,12.37µm
net5267,12.37µm
net5507,12.37µm
net5644,12.37µm
net5861,12.37µm
net6051,12.37µm
net6097,12.37µm
net6099,12.37µm
net6252,12.37µm
net6511,12.37µm
net6695,12.37µm
net6772,12.37µm
net6774,12.37µm
net6904,12.37µm
net7040,12.37µm
net7157,12.37µm
net7346,12.37µm
net7400,12.37µm
net7406,12.37µm
net7617,12.37µm
net7723,12.37µm
net7792,12.37µm
net7890,12.37µm
net7985,12.37µm
net8015,12.37µm
net8063,12.37µm
net8084,12.37µm
net8154,12.37µm
net8176,12.37µm
net8254,12.37µm
net8258,12.37µm
net8267,12.37µm
net8272,12.37µm
net8280,12.37µm
net8407,12.37µm
net8449,12.37µm
net8575,12.37µm
_00150_,12.32µm
_00302_,12.32µm
_00428_,12.32µm
_00512_,12.32µm
_00571_,12.32µm
_00692_,12.32µm
_00805_,12.32µm
_00957_,12.32µm
_01018_,12.32µm
_01030_,12.32µm
_01066_,12.32µm
_01078_,12.32µm
_01093_,12.32µm
_01307_,12.32µm
_01311_,12.32µm
_01642_,12.32µm
_01770_,12.32µm
_01780_,12.32µm
_02015_,12.32µm
_02098_,12.32µm
_02110_,12.32µm
_02126_,12.32µm
_02140_,12.32µm
_02169_,12.32µm
_02246_,12.32µm
_02265_,12.32µm
_02316_,12.32µm
_02641_,12.32µm
_02681_,12.32µm
_02686_,12.32µm
_02768_,12.32µm
_02817_,12.32µm
_03028_,12.32µm
_03102_,12.32µm
_03166_,12.32µm
_03195_,12.32µm
_03370_,12.32µm
_03393_,12.32µm
_03560_,12.32µm
_03587_,12.32µm
_03609_,12.32µm
_03803_,12.32µm
_03881_,12.32µm
_03934_,12.32µm
_03968_,12.32µm
_04003_,12.32µm
_04040_,12.32µm
_04136_,12.32µm
_04178_,12.32µm
_04226_,12.32µm
_04250_,12.32µm
_04332_,12.32µm
_04341_,12.32µm
_04633_,12.32µm
_04656_,12.32µm
_04665_,12.32µm
_04907_,12.32µm
_05128_,12.32µm
_05238_,12.32µm
_05312_,12.32µm
_05416_,12.32µm
_05503_,12.32µm
_05545_,12.32µm
_05773_,12.32µm
_05777_,12.32µm
_05798_,12.32µm
_05865_,12.32µm
_05932_,12.32µm
_06098_,12.32µm
_06278_,12.32µm
_06301_,12.32µm
_06412_,12.32µm
_06543_,12.32µm
_06696_,12.32µm
_06802_,12.32µm
_07006_,12.32µm
_07016_,12.32µm
_07024_,12.32µm
_07093_,12.32µm
_07660_,12.32µm
_07714_,12.32µm
_07885_,12.32µm
_08006_,12.32µm
_08039_,12.32µm
_08317_,12.32µm
u_core.u_master.u_slave.core_dout_data\[11\],12.32µm
u_core.u_master.u_slave.core_dout_data\[81\],12.32µm
u_core.u_master.u_slave.core_t0\[48\],12.32µm
u_core.u_master.u_slave.core_t1\[62\],12.32µm
u_core.u_master.u_slave.dout_sh\[104\],12.32µm
u_core.u_master.u_slave.non1\[28\],12.32µm
u_core.u_master.u_slave.non2\[10\],12.32µm
u_core.u_master.u_slave.tagr0\[28\],12.32µm
u_core.u_master.u_slave.tagr2\[22\],12.32µm
u_core.u_master.u_slave.tagw1\[29\],12.32µm
u_core.u_master.u_slave.tagw3\[20\],12.32µm
u_core.u_master.u_slave.u_core.B3\[36\],12.32µm
u_core.u_master.u_slave.u_core.S3\[60\],12.32µm
u_core.u_master.u_slave.u_core.full_dout_q\[56\],12.32µm
u_core.u_master.u_slave.u_core.full_dout_q\[81\],12.32µm
u_core.u_master.u_slave.u_core.full_nS0_q\[56\],12.32µm
u_core.u_master.u_slave.u_core.full_nS1_q\[30\],12.32µm
u_core.u_master.u_slave.u_core.last_dout_q\[10\],12.32µm
u_core.u_master.u_slave.u_core.last_dout_q\[114\],12.32µm
u_core.u_master.u_slave.u_core.last_dout_q\[80\],12.32µm
u_core.u_master.u_slave.u_core.last_nrate_q\[126\],12.32µm
u_core.u_master.u_slave.u_core.last_nrate_q\[39\],12.32µm
u_core.u_master.u_slave.u_core.last_nrate_q\[68\],12.32µm
net3651,12.32µm
net3669,12.32µm
net3676,12.32µm
net3770,12.32µm
net4108,12.32µm
net4196,12.32µm
net4200,12.32µm
net4232,12.32µm
net4367,12.32µm
net4468,12.32µm
net4816,12.32µm
net4863,12.32µm
net4955,12.32µm
net4960,12.32µm
net4999,12.32µm
net5001,12.32µm
net5086,12.32µm
net5134,12.32µm
net5154,12.32µm
net5213,12.32µm
net5303,12.32µm
net5347,12.32µm
net5445,12.32µm
net5466,12.32µm
net5504,12.32µm
net5589,12.32µm
net5604,12.32µm
net5665,12.32µm
net5756,12.32µm
net5769,12.32µm
net5833,12.32µm
net6112,12.32µm
net6133,12.32µm
net6135,12.32µm
net6230,12.32µm
net6283,12.32µm
net6310,12.32µm
net6338,12.32µm
net6386,12.32µm
net6387,12.32µm
net6394,12.32µm
net6424,12.32µm
net6469,12.32µm
net6579,12.32µm
net6893,12.32µm
net7018,12.32µm
net7037,12.32µm
net7095,12.32µm
net7359,12.32µm
net7375,12.32µm
net7387,12.32µm
net7444,12.32µm
net7560,12.32µm
net7956,12.32µm
net7976,12.32µm
net8078,12.32µm
net8220,12.32µm
net8412,12.32µm
net8458,12.32µm
net8482,12.32µm
_02716_,11.91µm
net4796,11.91µm
net5943,11.91µm
_00137_,11.86µm
_00147_,11.86µm
_03552_,11.86µm
_04201_,11.86µm
_04232_,11.86µm
_06267_,11.86µm
_06272_,11.86µm
_07575_,11.86µm
_08044_,11.86µm
_08241_,11.86µm
_08419_,11.86µm
u_core.rd_data_clk\[25\],11.86µm
u_core.u_master.u_slave.dout_sh\[125\],11.86µm
u_core.u_master.u_slave.dout_sh\[7\],11.86µm
u_core.u_master.u_slave.non3\[17\],11.86µm
u_core.u_master.u_slave.tagr0\[14\],11.86µm
u_core.u_master.u_slave.tagr2\[12\],11.86µm
u_core.u_master.u_slave.tagw3\[24\],11.86µm
u_core.u_master.u_slave.u_core.B3\[35\],11.86µm
u_core.u_master.u_slave.u_core.full_nS1_q\[12\],11.86µm
u_core.u_master.u_slave.u_core.last_dout_q\[29\],11.86µm
u_core.u_master.u_slave.u_core.last_dout_q\[89\],11.86µm
u_core.u_master.u_slave.u_core.last_nrate_q\[29\],11.86µm
u_core.u_master.u_slave.u_core.last_nrate_q\[41\],11.86µm
net3924,11.86µm
net4811,11.86µm
net5421,11.86µm
net7191,11.86µm
net7327,11.86µm
net7860,11.86µm
net8153,11.86µm
net8182,11.86µm
_00048_,11.81µm
_00071_,11.81µm
_00086_,11.81µm
_00108_,11.81µm
_00122_,11.81µm
_00297_,11.81µm
_00386_,11.81µm
_00424_,11.81µm
_00519_,11.81µm
_00529_,11.81µm
_00612_,11.81µm
_00638_,11.81µm
_00837_,11.81µm
_01074_,11.81µm
_01079_,11.81µm
_01158_,11.81µm
_01160_,11.81µm
_01176_,11.81µm
_01232_,11.81µm
_01682_,11.81µm
_01748_,11.81µm
_01811_,11.81µm
_01864_,11.81µm
_01963_,11.81µm
_02494_,11.81µm
_02845_,11.81µm
_02890_,11.81µm
_02895_,11.81µm
_03026_,11.81µm
_03258_,11.81µm
_03336_,11.81µm
_03456_,11.81µm
_03573_,11.81µm
_03611_,11.81µm
_03709_,11.81µm
_03713_,11.81µm
_03783_,11.81µm
_03792_,11.81µm
_03804_,11.81µm
_03947_,11.81µm
_03966_,11.81µm
_04010_,11.81µm
_04018_,11.81µm
_04279_,11.81µm
_04290_,11.81µm
_04309_,11.81µm
_04400_,11.81µm
_04628_,11.81µm
_04866_,11.81µm
_04873_,11.81µm
_04999_,11.81µm
_05088_,11.81µm
_05250_,11.81µm
_05270_,11.81µm
_05348_,11.81µm
_05392_,11.81µm
_05423_,11.81µm
_05499_,11.81µm
_05624_,11.81µm
_05656_,11.81µm
_05793_,11.81µm
_06034_,11.81µm
_06116_,11.81µm
_06150_,11.81µm
_06231_,11.81µm
_06283_,11.81µm
_06439_,11.81µm
_06557_,11.81µm
_06707_,11.81µm
_06807_,11.81µm
_06866_,11.81µm
_06893_,11.81µm
_06990_,11.81µm
_07483_,11.81µm
_07578_,11.81µm
_07627_,11.81µm
_07694_,11.81µm
_07842_,11.81µm
_07877_,11.81µm
_07992_,11.81µm
_08036_,11.81µm
_08073_,11.81µm
_08130_,11.81µm
_08152_,11.81µm
_08175_,11.81µm
_08193_,11.81µm
_08353_,11.81µm
u_core.cmd_rdata\[26\],11.81µm
u_core.miso_sr\[20\],11.81µm
u_core.miso_sr\[31\],11.81µm
u_core.rx_sr\[26\],11.81µm
u_core.u_master.u_slave.core_dout_data\[0\],11.81µm
u_core.u_master.u_slave.core_dout_data\[109\],11.81µm
u_core.u_master.u_slave.tagw3\[22\],11.81µm
u_core.u_master.u_slave.u_core.B1\[58\],11.81µm
u_core.u_master.u_slave.u_core.B3\[33\],11.81µm
u_core.u_master.u_slave.u_core.S2\[6\],11.81µm
u_core.u_master.u_slave.u_core.S3\[40\],11.81µm
u_core.u_master.u_slave.u_core.full_dout_q\[13\],11.81µm
u_core.u_master.u_slave.u_core.full_nS1_q\[28\],11.81µm
u_core.u_master.u_slave.u_core.last_dout_q\[59\],11.81µm
u_core.u_master.u_slave.u_core.last_nrate_q\[121\],11.81µm
u_core.u_master.u_slave.u_core.last_nrate_q\[20\],11.81µm
net3730,11.81µm
net3779,11.81µm
net3831,11.81µm
net3846,11.81µm
net3887,11.81µm
net3917,11.81µm
net3939,11.81µm
net3960,11.81µm
net4074,11.81µm
net4270,11.81µm
net4279,11.81µm
net4798,11.81µm
net4918,11.81µm
net4943,11.81µm
net5024,11.81µm
net5119,11.81µm
net5375,11.81µm
net5447,11.81µm
net5530,11.81µm
net5547,11.81µm
net5627,11.81µm
net5724,11.81µm
net5834,11.81µm
net6008,11.81µm
net6298,11.81µm
net6697,11.81µm
net6721,11.81µm
net6785,11.81µm
net6798,11.81µm
net6945,11.81µm
net7061,11.81µm
net7132,11.81µm
net7173,11.81µm
net7252,11.81µm
net7313,11.81µm
net7326,11.81µm
net7329,11.81µm
net7340,11.81µm
net7388,11.81µm
net7422,11.81µm
net7450,11.81µm
net7611,11.81µm
net7656,11.81µm
net7732,11.81µm
net7744,11.81µm
net7770,11.81µm
net7790,11.81µm
net7804,11.81µm
net7892,11.81µm
net7963,11.81µm
net8003,11.81µm
net8026,11.81µm
net8076,11.81µm
net8113,11.81µm
net8126,11.81µm
net8248,11.81µm
net8274,11.81µm
net8434,11.81µm
net8528,11.81µm
_00062_,11.76µm
_00138_,11.76µm
_00142_,11.76µm
_00203_,11.76µm
_00339_,11.76µm
_00640_,11.76µm
_00661_,11.76µm
_00673_,11.76µm
_00790_,11.76µm
_00795_,11.76µm
_00801_,11.76µm
_00898_,11.76µm
_00938_,11.76µm
_00942_,11.76µm
_00983_,11.76µm
_00985_,11.76µm
_01011_,11.76µm
_01039_,11.76µm
_01123_,11.76µm
_01226_,11.76µm
_01297_,11.76µm
_01343_,11.76µm
_01369_,11.76µm
_01645_,11.76µm
_01775_,11.76µm
_01798_,11.76µm
_01809_,11.76µm
_02168_,11.76µm
_02441_,11.76µm
_02529_,11.76µm
_02565_,11.76µm
_02633_,11.76µm
_02729_,11.76µm
_02925_,11.76µm
_02983_,11.76µm
_03003_,11.76µm
_03057_,11.76µm
_03138_,11.76µm
_03236_,11.76µm
_03268_,11.76µm
_03351_,11.76µm
_03410_,11.76µm
_03460_,11.76µm
_03463_,11.76µm
_03610_,11.76µm
_03651_,11.76µm
_03779_,11.76µm
_03799_,11.76µm
_03846_,11.76µm
_03894_,11.76µm
_03993_,11.76µm
_04299_,11.76µm
_04300_,11.76µm
_04630_,11.76µm
_04854_,11.76µm
_05160_,11.76µm
_05166_,11.76µm
_05201_,11.76µm
_05272_,11.76µm
_05304_,11.76µm
_05368_,11.76µm
_05551_,11.76µm
_05759_,11.76µm
_05787_,11.76µm
_05809_,11.76µm
_05851_,11.76µm
_05939_,11.76µm
_06023_,11.76µm
_06085_,11.76µm
_06115_,11.76µm
_06260_,11.76µm
_06350_,11.76µm
_06384_,11.76µm
_06475_,11.76µm
_06549_,11.76µm
_06625_,11.76µm
_06628_,11.76µm
_06748_,11.76µm
_06784_,11.76µm
_07088_,11.76µm
_07221_,11.76µm
_07525_,11.76µm
_07618_,11.76µm
_07647_,11.76µm
_07697_,11.76µm
_07828_,11.76µm
_07869_,11.76µm
_07913_,11.76µm
_07927_,11.76µm
u_core.cmd_wdata_q\[31\],11.76µm
u_core.frame_hold\[13\],11.76µm
u_core.frame_hold\[21\],11.76µm
u_core.rd_data_clk\[5\],11.76µm
u_core.u_master.m_wdata\[16\],11.76µm
u_core.u_master.u_slave.core_dout_data\[64\],11.76µm
u_core.u_master.u_slave.core_dout_data\[9\],11.76µm
u_core.u_master.u_slave.core_t1\[22\],11.76µm
u_core.u_master.u_slave.core_t1\[54\],11.76µm
u_core.u_master.u_slave.core_t1\[8\],11.76µm
u_core.u_master.u_slave.non0\[21\],11.76µm
u_core.u_master.u_slave.tagr2\[16\],11.76µm
u_core.u_master.u_slave.tagr2\[18\],11.76µm
u_core.u_master.u_slave.tagr3\[24\],11.76µm
u_core.u_master.u_slave.tagw1\[9\],11.76µm
u_core.u_master.u_slave.tagw3\[8\],11.76µm
u_core.u_master.u_slave.u_core.B3\[4\],11.76µm
u_core.u_master.u_slave.u_core.full_dout_q\[64\],11.76µm
u_core.u_master.u_slave.u_core.full_nS0_q\[29\],11.76µm
u_core.u_master.u_slave.u_core.full_nS0_q\[39\],11.76µm
u_core.u_master.u_slave.u_core.full_nS0_q\[58\],11.76µm
u_core.u_master.u_slave.u_core.last_dout_q\[120\],11.76µm
u_core.u_master.u_slave.u_core.last_dout_q\[38\],11.76µm
u_core.u_master.u_slave.u_core.last_nrate_q\[104\],11.76µm
net3672,11.76µm
net3802,11.76µm
net3814,11.76µm
net3927,11.76µm
net3984,11.76µm
net3987,11.76µm
net4386,11.76µm
net4412,11.76µm
net4415,11.76µm
net4437,11.76µm
net4583,11.76µm
net4586,11.76µm
net4723,11.76µm
net4733,11.76µm
net4791,11.76µm
net4900,11.76µm
net5126,11.76µm
net5495,11.76µm
net5549,11.76µm
net5683,11.76µm
net6120,11.76µm
net6207,11.76µm
net6329,11.76µm
net6372,11.76µm
net6527,11.76µm
net6584,11.76µm
net6594,11.76µm
net6687,11.76µm
net6694,11.76µm
net6698,11.76µm
net6722,11.76µm
net6755,11.76µm
net6909,11.76µm
net7011,11.76µm
net7205,11.76µm
net7256,11.76µm
net7267,11.76µm
net7312,11.76µm
net7331,11.76µm
net7399,11.76µm
net7442,11.76µm
net7594,11.76µm
net7684,11.76µm
net7745,11.76µm
net8045,11.76µm
net8287,11.76µm
net8462,11.76µm
net8535,11.76µm
_06929_,11.35µm
_07455_,11.35µm
u_core.rd_data_clk\[11\],11.35µm
u_core.u_master.u_slave.u_core.B3\[24\],11.35µm
u_core.u_master.u_slave.u_core.full_nS1_q\[2\],11.35µm
net5122,11.35µm
_01132_,11.3µm
_01229_,11.3µm
_02030_,11.3µm
_02044_,11.3µm
_02225_,11.3µm
_03198_,11.3µm
_03374_,11.3µm
_03640_,11.3µm
_04237_,11.3µm
_04881_,11.3µm
_04954_,11.3µm
_06068_,11.3µm
_08081_,11.3µm
_08348_,11.3µm
u_core.u_master.u_slave.authok_q,11.3µm
u_core.u_master.u_slave.dout_sh\[108\],11.3µm
u_core.u_master.u_slave.tagr0\[27\],11.3µm
u_core.u_master.u_slave.tagr3\[28\],11.3µm
u_core.u_master.u_slave.tagw3\[29\],11.3µm
u_core.u_master.u_slave.u_core.B3\[48\],11.3µm
u_core.u_master.u_slave.u_core.S3\[35\],11.3µm
u_core.u_master.u_slave.u_core.full_nS1_q\[32\],11.3µm
u_core.u_master.u_slave.u_core.last_dout_q\[12\],11.3µm
net3648,11.3µm
net3854,11.3µm
net4156,11.3µm
net4871,11.3µm
net5273,11.3µm
net5503,11.3µm
net5679,11.3µm
net5685,11.3µm
net7637,11.3µm
net7650,11.3µm
net8007,11.3µm
net8501,11.3µm
_00050_,11.25µm
_00115_,11.25µm
_00209_,11.25µm
_00262_,11.25µm
_00274_,11.25µm
_00360_,11.25µm
_00378_,11.25µm
_00417_,11.25µm
_00453_,11.25µm
_00473_,11.25µm
_00492_,11.25µm
_00665_,11.25µm
_00745_,11.25µm
_00911_,11.25µm
_00950_,11.25µm
_00955_,11.25µm
_00993_,11.25µm
_01128_,11.25µm
_01326_,11.25µm
_01329_,11.25µm
_01429_,11.25µm
_01459_,11.25µm
_01474_,11.25µm
_01482_,11.25µm
_01501_,11.25µm
_01559_,11.25µm
_01869_,11.25µm
_01876_,11.25µm
_02132_,11.25µm
_02220_,11.25µm
_02234_,11.25µm
_02392_,11.25µm
_02394_,11.25µm
_02492_,11.25µm
_02542_,11.25µm
_02870_,11.25µm
_02875_,11.25µm
_02882_,11.25µm
_03415_,11.25µm
_03457_,11.25µm
_03563_,11.25µm
_03608_,11.25µm
_03739_,11.25µm
_03903_,11.25µm
_03942_,11.25µm
_03977_,11.25µm
_03979_,11.25µm
_04021_,11.25µm
_04098_,11.25µm
_04322_,11.25µm
_04325_,11.25µm
_04739_,11.25µm
_04812_,11.25µm
_04837_,11.25µm
_04953_,11.25µm
_05067_,11.25µm
_05105_,11.25µm
_05225_,11.25µm
_05715_,11.25µm
_05723_,11.25µm
_05767_,11.25µm
_05872_,11.25µm
_06157_,11.25µm
_06212_,11.25µm
_06338_,11.25µm
_06717_,11.25µm
_06839_,11.25µm
_06891_,11.25µm
_06956_,11.25µm
_07053_,11.25µm
_07106_,11.25µm
_07121_,11.25µm
_07431_,11.25µm
_07622_,11.25µm
_07661_,11.25µm
_07679_,11.25µm
_07966_,11.25µm
_07969_,11.25µm
_08108_,11.25µm
_08225_,11.25µm
_08251_,11.25µm
_08364_,11.25µm
_08386_,11.25µm
_08406_,11.25µm
u_core.cmd_wdata_q\[0\],11.25µm
u_core.cmd_wdata_q\[19\],11.25µm
u_core.rx_sr\[27\],11.25µm
u_core.rx_sr\[35\],11.25µm
u_core.u_master.m_wdata\[14\],11.25µm
u_core.u_master.u_slave.core_dout_data\[101\],11.25µm
u_core.u_master.u_slave.core_t0\[42\],11.25µm
u_core.u_master.u_slave.core_t0\[4\],11.25µm
u_core.u_master.u_slave.non2\[23\],11.25µm
u_core.u_master.u_slave.non2\[8\],11.25µm
u_core.u_master.u_slave.non3\[7\],11.25µm
u_core.u_master.u_slave.non3\[8\],11.25µm
u_core.u_master.u_slave.tagr3\[8\],11.25µm
u_core.u_master.u_slave.tagw0\[30\],11.25µm
u_core.u_master.u_slave.u_core.B3\[27\],11.25µm
u_core.u_master.u_slave.u_core.full_dout_q\[115\],11.25µm
u_core.u_master.u_slave.u_core.full_dout_q\[126\],11.25µm
u_core.u_master.u_slave.u_core.full_nS1_q\[7\],11.25µm
u_core.u_master.u_slave.u_core.last_dout_q\[105\],11.25µm
u_core.u_master.u_slave.u_core.last_dout_q\[119\],11.25µm
u_core.u_master.u_slave.u_core.last_dout_q\[50\],11.25µm
u_core.u_master.u_slave.u_core.last_dout_q\[79\],11.25µm
u_core.u_master.u_slave.u_core.last_nrate_q\[123\],11.25µm
u_core.u_rs_clk.m,11.25µm
u_core.w2,11.25µm
net3665,11.25µm
net3707,11.25µm
net3786,11.25µm
net3886,11.25µm
net4013,11.25µm
net4205,11.25µm
net4249,11.25µm
net4349,11.25µm
net4390,11.25µm
net4408,11.25µm
net4768,11.25µm
net4826,11.25µm
net4933,11.25µm
net4941,11.25µm
net5120,11.25µm
net5136,11.25µm
net5263,11.25µm
net5337,11.25µm
net5351,11.25µm
net5370,11.25µm
net5516,11.25µm
net5518,11.25µm
net5651,11.25µm
net5757,11.25µm
net5968,11.25µm
net6065,11.25µm
net6083,11.25µm
net6170,11.25µm
net6188,11.25µm
net6339,11.25µm
net6349,11.25µm
net6441,11.25µm
net6518,11.25µm
net6730,11.25µm
net6814,11.25µm
net6841,11.25µm
net6856,11.25µm
net6884,11.25µm
net7059,11.25µm
net7120,11.25µm
net7162,11.25µm
net7165,11.25µm
net7257,11.25µm
net7376,11.25µm
net7394,11.25µm
net7462,11.25µm
net7492,11.25µm
net7512,11.25µm
net7618,11.25µm
net7707,11.25µm
net7909,11.25µm
net7964,11.25µm
net7983,11.25µm
net8064,11.25µm
net8191,11.25µm
net8198,11.25µm
net8302,11.25µm
net8346,11.25µm
net8347,11.25µm
net8384,11.25µm
net8443,11.25µm
net8532,11.25µm
net8595,11.25µm
_00129_,11.2µm
_00181_,11.2µm
_00367_,11.2µm
_00559_,11.2µm
_00607_,11.2µm
_00608_,11.2µm
_00620_,11.2µm
_00783_,11.2µm
_00811_,11.2µm
_00862_,11.2µm
_00997_,11.2µm
_01003_,11.2µm
_01021_,11.2µm
_01165_,11.2µm
_01173_,11.2µm
_01209_,11.2µm
_01275_,11.2µm
_01375_,11.2µm
_01378_,11.2µm
_01432_,11.2µm
_01774_,11.2µm
_02006_,11.2µm
_02072_,11.2µm
_02256_,11.2µm
_02281_,11.2µm
_02561_,11.2µm
_02588_,11.2µm
_02602_,11.2µm
_02747_,11.2µm
_02945_,11.2µm
_02956_,11.2µm
_02989_,11.2µm
_03012_,11.2µm
_03013_,11.2µm
_03037_,11.2µm
_03087_,11.2µm
_03233_,11.2µm
_03264_,11.2µm
_03298_,11.2µm
_03421_,11.2µm
_03493_,11.2µm
_03520_,11.2µm
_03549_,11.2µm
_03617_,11.2µm
_03707_,11.2µm
_03816_,11.2µm
_03852_,11.2µm
_03872_,11.2µm
_03948_,11.2µm
_04014_,11.2µm
_04051_,11.2µm
_04216_,11.2µm
_04230_,11.2µm
_04645_,11.2µm
_04763_,11.2µm
_04960_,11.2µm
_04969_,11.2µm
_05140_,11.2µm
_05145_,11.2µm
_05298_,11.2µm
_05324_,11.2µm
_05380_,11.2µm
_05448_,11.2µm
_05505_,11.2µm
_05506_,11.2µm
_05536_,11.2µm
_05616_,11.2µm
_05702_,11.2µm
_05751_,11.2µm
_05945_,11.2µm
_06164_,11.2µm
_06194_,11.2µm
_06277_,11.2µm
_06307_,11.2µm
_06315_,11.2µm
_06656_,11.2µm
_06732_,11.2µm
_06771_,11.2µm
_06786_,11.2µm
_06817_,11.2µm
_06919_,11.2µm
_07035_,11.2µm
_07138_,11.2µm
_07254_,11.2µm
_07327_,11.2µm
_07374_,11.2µm
_07378_,11.2µm
_07387_,11.2µm
_07396_,11.2µm
_07537_,11.2µm
_07587_,11.2µm
_07617_,11.2µm
_07640_,11.2µm
_07742_,11.2µm
_07907_,11.2µm
_07938_,11.2µm
_07954_,11.2µm
_08070_,11.2µm
_08149_,11.2µm
_08331_,11.2µm
_08343_,11.2µm
u_core.frame_hold\[26\],11.2µm
u_core.frame_hold\[36\],11.2µm
u_core.rd_data_clk\[29\],11.2µm
u_core.rd_data_clk\[30\],11.2µm
u_core.rx_sr\[22\],11.2µm
u_core.u_master.m_rdata\[27\],11.2µm
u_core.u_master.u_slave.core_dout_data\[35\],11.2µm
u_core.u_master.u_slave.core_dout_data\[4\],11.2µm
u_core.u_master.u_slave.core_t0\[58\],11.2µm
u_core.u_master.u_slave.dout_sh\[67\],11.2µm
u_core.u_master.u_slave.non2\[24\],11.2µm
u_core.u_master.u_slave.tagr3\[19\],11.2µm
u_core.u_master.u_slave.tagw0\[9\],11.2µm
u_core.u_master.u_slave.tagw1\[26\],11.2µm
u_core.u_master.u_slave.tagw1\[3\],11.2µm
u_core.u_master.u_slave.tagw3\[9\],11.2µm
u_core.u_master.u_slave.u_core.S3\[41\],11.2µm
u_core.u_master.u_slave.u_core.S3\[62\],11.2µm
u_core.u_master.u_slave.u_core.full_dout_q\[10\],11.2µm
u_core.u_master.u_slave.u_core.full_dout_q\[21\],11.2µm
u_core.u_master.u_slave.u_core.full_dout_q\[42\],11.2µm
u_core.u_master.u_slave.u_core.full_dout_q\[99\],11.2µm
u_core.u_master.u_slave.u_core.full_nS0_q\[11\],11.2µm
u_core.u_master.u_slave.u_core.full_nS1_q\[15\],11.2µm
u_core.u_master.u_slave.u_core.last_dout_q\[111\],11.2µm
u_core.u_master.u_slave.u_core.last_dout_q\[44\],11.2µm
u_core.u_master.u_slave.u_core.last_dout_q\[65\],11.2µm
u_core.u_master.u_slave.u_core.last_dout_q\[72\],11.2µm
u_core.u_master.u_slave.u_core.last_dout_q\[87\],11.2µm
u_core.u_master.u_slave.u_core.last_nrate_q\[31\],11.2µm
u_core.u_master.u_slave.u_core.last_nrate_q\[62\],11.2µm
u_core.u_master.u_slave.u_core.last_nrate_q\[90\],11.2µm
u_core.u_master.u_slave.u_core.last_nrate_q\[94\],11.2µm
net3599,11.2µm
net3678,11.2µm
net3813,11.2µm
net4585,11.2µm
net4657,11.2µm
net4737,11.2µm
net4840,11.2µm
net4859,11.2µm
net4972,11.2µm
net5007,11.2µm
net5103,11.2µm
net5108,11.2µm
net5322,11.2µm
net5428,11.2µm
net5448,11.2µm
net5455,11.2µm
